[INFO 22:26:31] miguelsolorio.symbols activated
[INFO 22:26:31] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:31] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:31] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:31] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:26:32] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:32] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:32] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:32] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:26:32] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:26:32] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:26:32] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:26:32] 🤖 symbols.files.associations changed, updating to undefined
