[INFO 22:15:36] miguelsolorio.symbols activated
[INFO 22:15:36] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:15:36] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:15:36] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:15:36] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:15:37] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:15:37] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:15:37] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:15:37] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:15:37] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:15:37] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:15:37] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:15:37] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:15:38] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:15:38] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:15:38] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:15:38] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:15:38] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:15:38] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:15:38] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:15:38] 🤖 symbols.files.associations changed, updating to undefined
[INFO 22:15:38] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 22:15:38] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 22:15:38] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 22:15:38] 🤖 symbols.files.associations changed, updating to undefined
